Speaker label,Gender(M/F),Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3,Time marker,,,,
lms001,F,hid,IH,1,609.8208562,2817.236459,3398.69048,1.75917,,,,
lms001,F, head,EH,2,851.6477,2148.5597,2574.797,2.49042,,,,
lms001,F,hard,AA,3,758.3015,1125.7794,2921.6733,3.972037,,,,
klm001,F,hid,IH,1,611.15,2353.24,3324.9545,1.843803,,,,
klm001,F,head,EH,2,830.7559,1566.9937,2751.2203,2.475053,,,,
klm001,F,hard,AA,3,708.1899,1145.7498,2675.7061,3.969425,,,,
kdj001,F,hid,IH,1,612.097,2220.6516,2717.0933,1.735321,,,,
kdj001,F,head,EH,2,806.3219,2105.0979,2880.3077,2.723829,,,,
kdj001,F,hard,AA,3,783.1079,1141.1848,2970.8416,4.717884,,,,
eah001,F,hid,IH,1,591.32,2324.9466,2970.782,2.947686,,,,
eah001,F,head,EH,2,774.735,2092.3606,2827.2996,4.105239,,,,
eah001,F,hard,AA,3,736.7474,1265.179,2720.4252,6.361798,,,,
jrk001,F,hid,IH,1,501.9162,2288.3923,2805.7254,1.707187,,,,
jrk001,F,head,EH,2,808.1802,2138.671,2813.4892,2.550702,,,,
jrk001,F,hard,AA,3,736.4452,1102.5916,2851.5364,4.356561,,,,
cxb001,F,hid,IH,1,359.8637,2827.0505,3272.1216,1.4205969,,,,
cxb001,F,head,EH,2,719.5224,2315.3403,3195.9493,2.684212,,,,
cxb001,F,hard,AA,3,825.04906,10121.1557,2902.747,3.875507,,,,
jep001,F,hid,IH,1,538.368,2443.3633,2810.8788,2.399734,,,,
jep001,F,head,EH,2,857.0007,2444.0776,2850.5184,3.146135,,,,
jep001,F,hard,AA,3,977.3333,1377.8875,2849.9732,4.65876,,,,
lst001,F,hid,IH,1,555.152614,2434.6868,3075.2517,2.150816,,,,
lst001,F,head,EH,2,702.1837,2221.1577,3012.8654,3.52618,,,,
lst001,F,hard,AA,3,893.346,1006.7932,2855.0567,5.839432,,,,
mpt001,F,hid,IH,1,430.5326,2636.1274,2525.4138,5.543802,,,,
mpt001,F,head,EH,2,599.4248,2354.5802,2993.1544,6.884752,,,,
mpt001,F,hard,AA,3,958.2379,1289.0171,2992.493,9.65748,,,,
rkk001,F,hid,IH,1,567.9315,2210.2368,2989.501,2.047532,,,,
rkk001,F,head,EH,2,827.983,2087.069,3025.77,3.027053,,,,
rkk001,F,hard,AA,3,728.9497,1112.0896,2830.2625,5.115694,,,,
cet001,F,hid,IH,1,536.4689,2448.0267,3148.4959,2.761413,,,,
